Feb 03, 2020  01:49:45 PM
Residual Gas Analyzer Software 
Software Version, 3.218.004

Analog Scan Setup:

Data Points in Scan, 641 
Units, Torr 
Noise Floor, 2 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 65, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.43E-004 
Filament Current, 1.00, mAmps


 39.60,   3.39E-009, 
 39.70,   6.71E-009, 
 39.80,   1.34E-008, 
 39.90,   2.27E-008, 
 40.00,   3.04E-008, 
 40.10,   3.17E-008, 
 40.20,   3.21E-008, 
 40.30,   2.85E-008, 
 40.40,   2.24E-008, 
 40.50,   1.01E-008, 
 40.60,   4.79E-009, 
 40.70,   2.80E-009, 
 40.80,   1.92E-009, 
 40.90,   1.76E-009, 
 41.00,   1.81E-009, 
 41.10,   1.83E-009, 
 41.20,   1.94E-009, 
 41.30,   2.09E-009, 
 41.40,   2.03E-009, 
 41.50,   1.75E-009, 
 41.60,   7.56E-010, 
 41.70,   4.55E-010, 
 41.80,   4.22E-010, 
 41.90,   4.50E-010, 
 42.00,   5.88E-010, 
 42.10,   7.09E-010, 
 42.20,   7.98E-010, 
 42.30,   8.10E-010, 
 42.40,   7.83E-010, 
 42.50,   5.81E-010, 
 42.60,   3.81E-010, 
 42.70,   3.17E-010, 
 42.80,   4.42E-010, 
 42.90,   6.21E-010, 
 43.00,   1.24E-009, 
 43.10,   1.63E-009, 
 43.20,   1.82E-009, 
 43.30,   1.85E-009, 
 43.40,   1.75E-009, 
 43.50,   1.59E-009, 
 43.60,   1.43E-009, 
 43.70,   1.67E-009, 
 43.80,   2.55E-009, 
 43.90,   4.14E-009, 
 44.00,   6.15E-009, 
 44.10,   7.43E-009, 
 44.20,   8.04E-009, 
 44.30,   7.88E-009, 
 44.40,   7.27E-009, 
 44.50,   5.13E-009, 
 44.60,   2.89E-009, 
 44.70,   1.66E-009, 
 44.80,   8.63E-010, 
