Feb 03, 2020  02:22:56 PM
Residual Gas Analyzer Software 
Software Version, 3.218.004

Analog Scan Setup:

Data Points in Scan, 641 
Units, Torr 
Noise Floor, 2 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 65, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.43E-004 
Filament Current, 1.00, mAmps


 47.10,   1.65E-010, 
 47.20,   2.05E-010, 
 47.30,   1.64E-010, 
 47.40,   1.07E-010, 
 47.50,   6.65E-011, 
 47.60,   1.25E-010, 
 47.70,   1.39E-010, 
 47.80,   1.31E-010, 
 47.90,   3.01E-011, 
 48.00,  -1.26E-011, 
 48.10,  -6.65E-011, 
 48.20,  -8.40E-012, 
 48.30,   9.87E-011, 
 48.40,   3.99E-011, 
 48.50,   3.99E-011, 
 48.60,  -7.00E-012, 
 48.70,  -6.72E-011, 
 48.80,  -1.28E-010, 
 48.90,  -1.20E-010, 
 49.00,  -5.74E-011, 
 49.10,  -1.68E-011, 
 49.20,  -2.03E-011, 
 49.30,   2.66E-011, 
 49.40,   4.48E-011, 
 49.50,   1.61E-011, 
 49.60,  -1.22E-010, 
 49.70,  -9.59E-011, 
 49.80,  -5.11E-011, 
 49.90,   9.59E-011, 
 50.00,   1.59E-010, 
 50.10,   1.69E-010, 
 50.20,   1.21E-010, 
 50.30,   1.21E-010, 
 50.40,   5.60E-011, 
 50.50,   4.69E-011, 
 50.60,   4.83E-011, 
 50.70,   2.80E-011, 
 50.80,   6.51E-011, 
 50.90,   1.25E-010, 
 51.00,   1.84E-010, 
 51.10,   1.69E-010, 
 51.20,   2.25E-010, 
 51.30,   3.21E-010, 
 51.40,   2.61E-010, 
 51.50,   1.41E-010, 
 51.60,   8.40E-011, 
 51.70,  -7.00E-013, 
 51.80,   1.47E-011, 
 51.90,   1.60E-010, 
 52.00,   4.69E-011, 
 52.10,   4.48E-011, 
 52.20,   2.52E-011, 
 52.30,   6.58E-011, 
 52.40,   9.52E-011, 
 52.50,   3.92E-011, 
 52.60,   6.44E-011, 
 52.70,  -9.10E-012, 
 52.80,   9.10E-012, 
 52.90,   7.21E-011, 
 53.00,   4.69E-011, 
 53.10,   9.59E-011, 
 53.20,   2.03E-011, 
 53.30,  -1.89E-011, 
 53.40,  -4.20E-012, 
 53.50,   4.90E-012, 
 53.60,  -2.45E-011, 
 53.70,   2.03E-011, 
 53.80,  -6.65E-011, 
 53.90,  -1.13E-010, 
 54.00,   3.85E-011, 
 54.10,   8.47E-011, 
 54.20,   3.22E-011, 
 54.30,   1.09E-010, 
 54.40,   1.31E-010, 
 54.50,   6.93E-011, 
 54.60,   5.67E-011, 
 54.70,   1.07E-010, 
 54.80,   2.07E-010, 
 54.90,   1.69E-010, 
 55.00,   2.39E-010, 
 55.10,   4.11E-010, 
 55.20,   4.82E-010, 
 55.30,   5.07E-010, 
 55.40,   4.64E-010, 
 55.50,   4.29E-010, 
 55.60,   2.01E-010, 
 55.70,   3.08E-011, 
 55.80,   1.00E-010, 
 55.90,   2.21E-010, 
 56.00,   2.00E-010, 
 56.10,   2.82E-010, 
 56.20,   3.95E-010, 
 56.30,   4.71E-010, 
 56.40,   4.80E-010, 
 56.50,   4.19E-010, 
 56.60,   3.03E-010, 
 56.70,   2.92E-010, 
 56.80,   2.91E-010, 
 56.90,   4.71E-010, 
 57.00,   5.77E-010, 
 57.10,   9.27E-010, 
 57.20,   1.17E-009, 
 57.30,   9.20E-010, 
 57.40,   5.81E-010, 
 57.50,   9.47E-010, 
 57.60,   3.53E-010, 
 57.70,   1.71E-010, 
 57.80,   4.13E-011, 
 57.90,   1.04E-010, 
 58.00,   7.70E-011, 
 58.10,   1.15E-010, 
 58.20,   9.94E-011, 
 58.30,   1.06E-010, 
 58.40,   1.81E-010, 
 58.50,   2.30E-010, 
 58.60,   1.81E-010, 
 58.70,   4.76E-011, 
 58.80,   6.72E-011, 
 58.90,   5.53E-011, 
 59.00,   8.61E-011, 
 59.10,   3.15E-011, 
 59.20,   3.22E-011, 
 59.30,   3.15E-011, 
 59.40,   1.96E-011, 
 59.50,  -7.00E-013, 
 59.60,  -8.54E-011, 
 59.70,  -9.59E-011, 
 59.80,  -2.31E-011, 
 59.90,  -2.80E-011, 
 60.00,   1.26E-011, 
 60.10,  -2.59E-011, 
 60.20,  -1.54E-011, 
 60.30,  -1.75E-011, 
 60.40,  -1.02E-010, 
 60.50,  -9.73E-011, 
 60.60,  -1.22E-010, 
 60.70,  -1.05E-010, 
 60.80,  -3.36E-011, 
